Job Profile,Skills,,,,,
Business Analyst,Software Project Management,,,,,
Business Analyst,Databases,,,,,
Business Analyst,Requirement Gathering,,,,,
Business Analyst,Requirement Analysis,,,,,
Business Analyst,Business Analysis,,,,,
Data Analyst,R,,,,,
Data Analyst,SQL,,,,,
Data Analyst,Tableau,,,,,
Data Analyst,Python,,,,,
Data Analyst,Databases,,,,,
Database Analyst,MS SQL,,,,,
Database Analyst,SQL,,,,,
Database Analyst,Database Design,,,,,
Database Analyst,Business Intelligence,,,,,
Database Analyst,Databases,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
